text length,abstract/ms,abstract/bytes,matrix/ms,matrix/bytes,tree/ms,tree/bytes,kmp/ms,kmp/bytes
1000,36.86,552,0.412,550432,40.529,79392,13.292,550432
2000,33.788,552,0.39,550432,38.306,79392,13.885,550432
3000,38.01,552,0.404,550432,39.021,79392,14.277,550432
4000,34.295,552,0.414,550432,38.236,79392,14.151,550432
5000,34.625,552,0.405,550432,41.203,79392,14.352,550432
6000,35.459,552,0.458,550432,39.602,79392,14.864,550432
7000,35.414,552,0.439,550432,39.612,79392,15.253,550432
8000,36.376,552,0.457,550432,39.598,79392,15.675,550432
9000,36.337,552,0.444,550432,41.458,79392,16.034,550432
10000,35.596,552,0.497,550432,40.546,79392,16.501,550432
11000,38.657,552,0.512,550432,40.643,79392,16.875,550432
12000,37.938,552,0.488,550432,41.817,79392,17.292,550432
13000,38.876,552,0.516,550432,42.457,79392,17.701,550432
14000,37.966,552,0.502,550432,40.989,79392,18.119,550432
15000,38.09,552,0.526,550432,42.131,79392,18.477,550432
16000,38.744,552,0.558,550432,41.599,79392,18.9,550432
17000,38.348,552,0.531,550432,42.258,79392,19.363,550432
18000,39.008,552,0.522,550432,42.263,79392,19.714,550432
19000,40.194,552,0.541,550432,42.697,79392,20.147,550432
20000,40.358,552,0.551,550432,43.488,79392,20.571,550432
21000,40.348,552,0.536,550432,43.058,79392,21.027,550432
22000,39.824,552,0.575,550432,43.235,79392,21.408,550432
23000,40.455,552,0.576,550432,43.206,79392,21.771,550432
24000,41.941,552,0.57,550432,44.045,79392,22.195,550432
25000,41.207,552,0.58,550432,43.801,79392,22.603,550432
26000,42.057,552,0.61,550432,45.659,79392,23.094,550432
27000,43.055,552,0.609,550432,46.981,79392,23.5,550432
28000,43.493,552,0.653,550432,46.428,79392,24.075,550432
29000,44.043,552,0.628,550432,47.107,79392,24.338,550432
30000,43.923,552,0.614,550432,46.063,79392,24.699,550432
31000,43.959,552,0.649,550432,47.143,79392,25.166,550432
32000,45.44,552,0.65,550432,48.322,79392,25.572,550432
33000,45.481,552,0.681,550432,48,79392,25.996,550432
34000,47.081,552,0.662,550432,47.581,79392,26.412,550432
35000,45.958,552,0.675,550432,48.505,79392,26.771,550432
36000,45.095,552,0.71,550432,49.669,79392,27.19,550432
37000,46.657,552,0.682,550432,47.474,79392,27.643,550432
38000,46.111,552,0.719,550432,47.983,79392,28.02,550432
39000,46.272,552,0.697,550432,48.472,79392,28.445,550432
40000,46.808,552,0.711,550432,49.24,79392,28.88,550432
41000,46.41,552,0.751,550432,48.55,79392,29.279,550432
